City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Howrah,22.5892,88.3103,28.0,89,40,2.06,IN,1690319707
1,Albany,42.6001,-73.9662,26.46,49,100,1.93,US,1690319475
2,Geraldton,-28.7667,114.6,12.23,76,75,4.12,AU,1690319594
3,Puerto Aisén,-45.4,-72.7,5.13,100,99,1.1,CL,1690319717
4,Lā‘ie,21.6477,-157.9253,30.98,71,66,7.18,US,1690319617
5,Linxia Chengguanzhen,35.6003,103.2064,17.3,67,96,1.46,CN,1690319718
6,Udachny,66.4167,112.4,17.67,61,100,2.45,RU,1690319617
7,Missoula,47.0166,-113.8009,24.8,38,57,6.75,US,1690319533
8,Ribeira Grande,38.5167,-28.7,23.22,73,20,3.58,PT,1690319580
9,Mahibadhoo,3.7833,72.9667,28.02,78,100,3.76,MV,1690319720
10,Qui Nhon,13.7667,109.2333,25.42,85,6,1.96,VN,1690319616
11,Adamstown,-25.066,-130.1015,22.54,91,100,17.51,PN,1690319575
12,Auki,-8.7676,160.7034,25.92,88,91,2.4,SB,1690319722
13,Blackmans Bay,-43.0167,147.3167,12.05,73,100,5.64,AU,1690319579
14,Nikopol',47.5712,34.3964,24.12,61,4,6.78,UA,1690319723
15,Talnakh,69.4865,88.3972,14.56,73,0,0.9,RU,1690319586
16,Ushuaia,-54.8,-68.3,-3.04,89,100,1.96,AR,1690319482
17,Caleta Olivia,-46.4393,-67.5281,2.15,78,100,8.33,AR,1690319725
18,Egilsstadir,65.2653,-14.3948,6.95,81,75,4.63,IS,1690319726
19,Lithgow,-33.4833,150.15,3.01,95,2,1.5,AU,1690319726
20,Dikhil Region,11.5,42.1667,34.05,31,100,2.62,DJ,1690319727
21,Pyhäselkä,62.4333,29.9667,13.15,94,42,1.54,FI,1690319728
22,Tiksi,71.6872,128.8694,5.48,74,54,1.35,RU,1690319578
23,Adrar,20.5022,-10.0711,39.32,15,83,2.6,MR,1690319730
24,Karratha,-20.7377,116.8463,17.94,76,7,4.58,AU,1690319730
25,Waitangi,-43.9535,-176.5597,9.34,98,100,0.89,NZ,1690319579
26,Novoaltaysk,53.3917,83.9363,18.67,86,76,1.39,RU,1690319732
27,Antofagasta,-23.65,-70.4,17.6,79,43,2.64,CL,1690319153
28,Callao,-12.0667,-77.15,20.95,73,100,6.17,PE,1690319733
29,Isnos,1.9356,-76.2406,19.65,85,97,1.18,CO,1690319734
30,Constanța,44.1833,28.65,25.39,69,66,10.12,RO,1690319575
31,Finisterra,42.9049,-9.2629,18.75,77,50,6.25,ES,1690319602
32,West Island,-12.1568,96.8225,24.99,69,75,8.75,CC,1690319597
33,Ulsteinvik,62.3432,5.8487,16.53,90,100,1.79,NO,1690319735
34,Tsengel,49.4783,100.8894,10.06,77,22,2.78,MN,1690319736
35,Fale old settlement,-9.3852,-171.2468,28.62,76,12,9.2,TK,1690319736
36,Bargaal,11.2864,51.0773,28.38,58,8,13.72,SO,1690319737
37,Edinburgh of the Seven Seas,-37.0676,-12.3116,11.6,65,100,8.62,SH,1690319578
38,Kentau,43.5206,68.5094,31.5,20,0,6.09,KZ,1690319738
39,Longyearbyen,78.2186,15.6401,10.91,71,40,1.54,SJ,1690319572
40,Isafjordur,66.0755,-23.124,8.02,78,93,3.87,IS,1690319597
41,Stanley,54.868,-1.6985,13.21,90,75,1.03,GB,1690319576
42,Keflavik,64.0049,-22.5624,13.95,76,100,5.66,IS,1690319620
43,Taoudenni,22.6783,-3.9836,42.02,12,66,4.43,ML,1690319741
44,Iqaluit,63.7506,-68.5145,6.85,86,100,2.57,CA,1690319572
45,Codrington,-38.2667,141.9667,6.04,94,99,3.74,AU,1690319593
46,Atafu Village,-8.5421,-172.5159,29.06,70,12,8.75,TK,1690319617
47,Reggane,26.7158,0.1714,40.3,5,0,4.96,DZ,1690319468
48,Ust-Nera,64.5667,143.2,15.37,74,92,1.89,RU,1690319604
49,Peterhead,57.5058,-1.7981,12.22,79,62,4.71,GB,1690319743
50,Tura,25.5198,90.2201,23.79,97,94,2.45,IN,1690319602
51,Papao,-17.75,-149.55,28.82,83,7,7.43,PF,1690319744
52,Port-aux-Français,-49.35,70.2167,3.43,80,100,8.18,TF,1690319573
53,Petropavlovsk-Kamchatskiy,53.0452,158.6483,15.33,94,20,2.0,RU,1690319488
54,Kucha,41.7278,82.9364,27.01,30,85,1.48,CN,1690319745
55,Cooper’s Town,26.8667,-77.5167,29.57,69,88,5.08,BS,1690319581
56,Nova Sintra,14.8667,-24.7167,22.31,85,21,5.09,CV,1690319482
57,Lompoc,34.6391,-120.4579,31.58,53,20,4.12,US,1690319756
58,Fort Bragg,35.139,-79.006,34.8,47,40,1.54,US,1690319675
59,Naze,28.3667,129.4833,27.51,84,64,5.34,JP,1690319757
60,Faya-Largeau,17.9257,19.1043,35.77,11,43,2.1,TD,1690319757
61,Sanibel,26.449,-82.0223,36.12,53,5,2.68,US,1690319758
62,Al Ghayzah,16.2079,52.176,25.32,88,100,5.4,YE,1690319604
63,Bethel,41.3712,-73.414,27.2,88,100,2.06,US,1690319580
64,Yellowknife,62.456,-114.3525,25.31,25,75,10.28,CA,1690319555
65,Andergrove,-21.0833,149.1833,18.69,77,43,9.8,AU,1690319593
66,Puerto Ayora,-0.7393,-90.3518,26.42,89,42,3.58,EC,1690319492
67,Nikolayevsk-on-Amur,53.1406,140.73,20.04,79,80,1.36,RU,1690319761
68,Saint Paul Harbor,57.79,-152.4072,15.73,72,0,3.09,US,1690319761
69,Nungua,5.6011,-0.0771,25.23,88,75,4.12,GH,1690319762
70,Howard Springs,-12.497,131.047,15.95,51,10,3.32,AU,1690319762
71,Saint-Philippe,-21.3585,55.7679,20.77,78,42,0.86,RE,1690319606
72,Neiafu,-18.65,-173.9833,23.38,73,75,2.06,TO,1690319764
73,Kirensk,57.7853,108.1119,15.94,98,94,1.49,RU,1690319764
74,Minas de Marcona,-15.2119,-75.1103,15.7,68,14,6.34,PE,1690319765
75,Tuy Hoa,13.0833,109.3,26.06,80,70,5.54,VN,1690319765
76,Bodaybo,57.8506,114.1933,17.03,87,6,1.14,RU,1690319766
77,Mariental,-24.6333,17.9667,17.69,27,64,3.48,NA,1690319766
78,George Town,5.4112,100.3354,27.23,83,20,0.0,MY,1690319516
79,Broken Hill,-31.95,141.4333,7.42,70,0,3.24,AU,1690319767
80,Hawaiian Paradise Park,19.5933,-154.9731,27.24,85,100,3.6,US,1690319576
81,Okhotsk,59.3833,143.3,14.76,86,100,3.07,RU,1690319599
82,East London,-33.0153,27.9116,15.09,55,100,3.37,ZA,1690319626
83,Tazacorte,28.629,-17.9293,23.54,92,100,5.66,ES,1690319679
84,Thunder Bay,48.4001,-89.3168,25.99,53,75,5.66,CA,1690319531
85,Chul'man,56.8479,124.9104,14.17,91,48,0.7,RU,1690319770
86,Wailua Homesteads,22.0669,-159.378,29.44,75,20,6.17,US,1690319578
87,Bilibino,68.0546,166.4372,10.99,94,100,0.83,RU,1690319577
88,Grytviken,-54.2811,-36.5092,-3.41,80,72,4.7,GS,1690319572
89,Rabo de Peixe,37.8,-25.5833,21.73,78,40,2.06,PT,1690319602
90,Hamilton,39.1834,-84.5333,33.02,52,0,2.06,US,1690319603
91,Rouissat,31.9243,5.3502,38.04,9,0,2.06,DZ,1690319567
92,Kashary,49.04,41.0056,22.06,52,100,1.43,RU,1690319774
93,Polyarnyye Zori,67.3661,32.4981,8.15,95,95,1.89,RU,1690319775
94,Puerto Natales,-51.7236,-72.4875,-1.44,85,12,2.69,CL,1690319448
95,São José da Coroa Grande,-8.8978,-35.1478,23.9,83,77,3.63,BR,1690319776
96,Aş Şuwayrah,32.9256,44.7758,36.86,12,0,3.62,IQ,1690319777
97,Port Elizabeth,-33.918,25.5701,10.16,76,0,2.06,ZA,1690319582
98,Selfoss,63.9331,-20.9971,13.91,86,99,3.69,IS,1690319285
99,Rwamagana,-1.9487,30.4347,22.69,46,93,1.19,RW,1690319778
100,Khiva,41.3783,60.3639,27.99,15,2,3.84,UZ,1690319779
101,Naryan-Mar,67.6713,53.087,14.8,78,18,3.41,RU,1690319598
102,Newman,37.3138,-121.0208,36.19,9,1,1.29,US,1690319624
103,Lautoka,-17.6167,177.4667,22.92,83,75,3.09,FJ,1690319781
104,Trujillo,-8.116,-79.03,22.98,78,75,2.57,PE,1690319781
105,Port Blair,11.6667,92.75,26.02,94,75,0.0,IN,1690319782
106,Prince Rupert,54.3161,-130.3201,14.05,92,100,4.12,CA,1690319593
107,Yelizovo,53.1873,158.3805,16.08,93,20,2.0,RU,1690319587
108,Coaldale,49.7167,-112.6185,29.53,18,40,11.83,CA,1690319783
109,Aasiaat,68.7098,-52.8699,3.84,91,90,2.63,GL,1690319615
110,Angaur State,6.906,134.13,26.64,79,100,2.99,PW,1690319784
111,Berwick-Upon-Tweed,55.7833,-2.0,12.46,83,74,2.19,GB,1690319784
112,Ilulissat,69.2167,-51.1,4.01,93,100,2.57,GL,1690319573
113,Thompson,55.7435,-97.8558,23.09,40,40,3.09,CA,1690319521
114,Dwārka,22.2394,68.9678,27.73,84,80,7.42,IN,1690319786
115,Sooke,48.3746,-123.7276,21.24,72,88,10.29,CA,1690319786
116,Tôlanaro,-25.0319,46.9987,17.75,64,62,2.32,MG,1690319596
117,Chamdo,31.1667,97.2333,4.84,87,100,0.74,CN,1690319579
118,Chamrajnagar,11.9167,76.95,20.93,81,100,5.61,IN,1690319788
119,College,64.8569,-147.8028,27.34,63,75,4.63,US,1690319468
120,Ola,59.5833,151.2833,13.56,87,27,0.95,RU,1690319789
121,Ganshui,28.7422,106.7111,23.98,97,100,1.29,CN,1690319789
122,Hasaki,35.7333,140.8333,26.28,88,76,3.29,JP,1690319582
123,Iquique,-20.2208,-70.1431,19.02,75,1,2.63,CL,1690319791
124,Papatowai,-46.5619,169.4708,5.24,80,60,5.19,NZ,1690319615
125,Invercargill,-46.4,168.35,5.41,84,70,3.72,NZ,1690319587
126,Nuuk,64.1835,-51.7216,13.34,54,20,4.63,GL,1690319610
127,Gornozavodsk,58.3758,58.3211,14.98,75,100,0.71,RU,1690319793
128,Whitehorse,60.7161,-135.0538,20.43,52,75,1.54,CA,1690319759
129,Pacific Grove,36.6177,-121.9166,31.33,76,20,4.92,US,1690319624
130,Saint Paul,44.9444,-93.0933,35.99,47,0,6.17,US,1690319676
131,Izkī,22.9333,57.7667,29.39,60,100,0.93,OM,1690319795
132,Tralee,52.2704,-9.7026,13.37,91,8,1.62,IE,1690319610
133,Tsimmerbude,54.675,20.1347,16.65,83,100,4.29,RU,1690319796
134,Yorkton,51.2167,-102.4677,26.91,69,100,2.57,CA,1690319797
135,Nagato,34.3833,131.2,25.63,90,53,1.3,JP,1690319797
136,Bria,6.5423,21.9863,20.05,98,100,1.02,CF,1690319798
137,Anadyr,64.75,177.4833,12.28,81,75,6.0,RU,1690319609
138,Ocean City,39.2776,-74.5746,25.55,73,5,1.34,US,1690319799
139,Zheshart,62.0731,49.5733,11.91,98,99,0.32,RU,1690319800
140,Verkhnevilyuysk,63.4453,120.3167,14.27,67,34,1.94,RU,1690319800
141,Crane,31.3974,-102.3501,37.21,18,33,7.19,US,1690319801
142,Tofol,5.3248,163.0078,28.77,73,100,4.88,FM,1690319801
143,Pontes e Lacerda,-15.2261,-59.3353,32.54,23,0,1.67,BR,1690319802
144,Huarmey,-10.0681,-78.1522,22.5,71,22,6.42,PE,1690319802
145,Protaras,35.0125,34.0583,28.86,55,0,1.34,CY,1690319803
146,Mogadishu,2.0371,45.3438,24.85,83,86,8.5,SO,1690319768
147,Kazanskoye,55.6448,69.235,15.7,81,47,2.31,RU,1690319828
148,Khorixas,-20.3667,14.9667,14.38,54,0,1.43,NA,1690319829
149,Yarmouth,41.7057,-70.2286,28.31,71,0,5.66,US,1690319829
150,Hermanus,-34.4187,19.2345,7.67,68,0,2.38,ZA,1690319798
151,Bredasdorp,-34.5322,20.0403,7.35,75,0,0.92,ZA,1690319711
152,Garliava,54.8167,23.8667,17.99,86,86,3.46,LT,1690319831
153,Nouadhibou,20.931,-17.0347,22.99,73,68,9.26,MR,1690319832
154,Qaqortoq,60.7167,-46.0333,6.57,88,83,2.2,GL,1690319784
155,Kotelnikowo,47.6317,43.1461,25.36,39,6,0.98,RU,1690319833
156,Oxford,51.7522,-1.256,15.58,78,0,2.06,GB,1690319833
157,Horta,38.5333,-28.6333,22.8,78,20,3.58,PT,1690319833
158,Praia da Vitória,38.7333,-27.0667,23.14,83,40,3.89,PT,1690319834
159,Acapulco de Juárez,16.8634,-99.8901,31.9,66,100,5.14,MX,1690319683
160,Guadalupe y Calvo,26.1,-106.9667,24.82,36,94,1.48,MX,1690319835
161,Aliaga,15.5167,120.8667,25.72,91,100,4.52,PH,1690319835
162,Port Mathurin,-19.6833,63.4167,23.38,77,11,7.41,MU,1690319835
163,Talcahuano,-36.7167,-73.1167,11.45,77,100,2.88,CL,1690319836
164,Badger,64.8,-147.5333,27.3,59,75,4.63,US,1690319267
165,Lebu,-37.6167,-73.65,11.01,80,72,4.37,CL,1690319837
166,Queenstown,-31.8976,26.8753,10.05,17,100,2.45,ZA,1690319837
167,Nogliki,51.8333,143.1667,13.69,97,99,3.04,RU,1690319838
168,Ta`ū,-14.2336,-169.5144,25.47,70,26,4.38,AS,1690319382
169,Lihue,21.9789,-159.3672,29.77,68,20,6.17,US,1690319839
170,Sofiyivka,48.0493,33.8746,22.49,59,15,5.99,UA,1690319839
171,Poso,-1.3959,120.7524,24.39,81,1,2.23,ID,1690319840
172,Margaret River,-33.95,115.0667,11.94,84,100,7.76,AU,1690319246
173,La Santisima Trinidad,-14.8333,-64.9,32.99,38,20,3.6,BO,1690319840
174,Mitchell,43.7094,-98.0298,32.99,52,0,7.2,US,1690319841
175,Ujae,8.9322,165.7642,28.45,79,96,6.74,MH,1690319266
176,Manly,-33.798,151.2883,10.58,73,20,3.6,AU,1690319842
177,Tabou,4.423,-7.3528,24.59,86,100,3.69,CI,1690319832
178,Iskateley,67.6803,53.1512,14.82,77,23,3.48,RU,1690319650
179,Usogorsk,63.4106,48.6872,12.93,97,100,1.24,RU,1690319844
180,Gornopravdinsk,60.05,69.9,14.66,98,87,1.58,RU,1690319845
181,Puerto Salgar,5.463,-74.6544,37.88,29,61,0.48,CO,1690319845
182,Rémire-Montjoly,4.9167,-52.2667,29.02,79,40,2.06,GF,1690319358
183,Olonkinbyen,70.9221,-8.7187,5.39,86,100,3.9,SJ,1690319846
184,Cabo San Lucas,22.8909,-109.9124,34.78,45,75,4.63,MX,1690319093
185,Odda,60.0691,6.5457,13.76,93,100,2.29,NO,1690319298
186,Cutral-Có,-38.9469,-69.2089,12.17,10,2,3.58,AR,1690319848
187,Tazovsky,67.4667,78.7,12.31,78,34,4.62,RU,1690319849
188,As Sulayyil,20.4607,45.5779,34.14,9,98,2.29,SA,1690319849
189,Ar Ruţbah,33.0381,40.2848,31.25,17,0,2.82,IQ,1690319850
190,Sungailiat,-1.85,106.1333,26.18,85,39,4.09,ID,1690319850
191,Malakal,9.5334,31.6605,24.71,80,99,1.92,SS,1690319851
192,Avarua,-21.2078,-159.775,24.03,57,75,2.57,CK,1690319851
193,La Romana,18.4273,-68.9728,32.2,66,75,7.72,DO,1690319852
194,Dzhalagash,45.0833,64.6667,31.36,23,0,3.7,KZ,1690319852
195,Conde,-7.2597,-34.9075,24.7,78,0,3.6,BR,1690319629
196,Kilindoni,-7.9139,39.6668,25.14,78,47,6.74,TZ,1690319817
197,Marabu,4.4148,114.0089,25.93,84,100,2.07,MY,1690319398
198,Enriquillo,17.9,-71.2333,32.82,65,67,4.82,DO,1690319279
199,Viedma,-40.8135,-62.9967,9.53,69,100,6.56,AR,1690319854
200,Kabare,-2.4683,28.8242,19.09,57,77,0.57,CD,1690319854
201,Termini Imerese,37.9837,13.6956,31.14,59,31,1.45,IT,1690319855
202,Polyarny,69.1989,33.4478,9.35,96,85,2.33,RU,1690319282
203,Orapa,-21.2833,25.3667,14.43,71,31,6.85,BW,1690319856
204,Luwuk,-0.9516,122.7875,24.34,90,56,2.0,ID,1690319316
205,Puri,19.8,85.85,27.29,84,78,6.53,IN,1690319641
206,Ankang,32.68,109.0172,22.91,85,100,1.11,CN,1690319298
207,Mount Pearl,47.5166,-52.7813,23.19,68,75,4.12,CA,1690319857
208,Lüshunkou,38.8,121.2667,26.12,93,100,1.64,CN,1690319617
209,Tambopata,-12.7333,-69.1833,27.94,78,40,3.09,PE,1690319858
210,Happy Valley-Goose Bay,53.3168,-60.3315,21.17,73,75,3.6,CA,1690319710
211,Arraial do Cabo,-22.9661,-42.0278,21.98,88,0,7.2,BR,1690319820
212,Urzhar,47.093,81.6294,23.12,37,79,3.67,KZ,1690319860
213,Chonchi,-42.6128,-73.8092,10.56,93,68,2.83,CL,1690319801
214,Yuzhno-Kurilsk,44.0306,145.8556,19.04,98,35,1.53,RU,1690319861
